,Nieuwe techniek 1,bron kwin 2012,,,,bron: Countus,,,,bron kwin 2012,,,,bron kwin 2012,bron kwin 2012,bron Agentschap NL 2013,,,,,,
,,prijs aanschaf,prijs aanschaf min,prijs aanschaf max,gem prijs aanschaf,vermogen,vermogen min,vermogen max,gem vermogen,taaktijden,taaktijd min,taaktijd max,gem taaktijd,gem. afschrijving,gem. onderhoud,MIA,Vamil,,brandstofverbruik,belasting van de motor,,
,,euro,euro,euro,euro,kW,kW,kW,kW,uur/ha,uur/ha,uur/ha,uur/ha,%,%,,,,l/ kW,%,gewicht (kg),countus waarden
1,Cultivator schijf,2500-10000,2500,10000,6250,70-150,70,150,110,"0,75-1",0.75,1,0.875,6.0,2.5,0%,0%,,0.305,70,1750,1000 - 2500
2,Cultivator vaste tand,3750-20000,3750,20000,11875,70-150,70,150,110,"0,75-1",0.75,1,0.875,6.0,3.5,0%,0%,,0.305,70,1125,750 - 1500
3,Cultivator veertand,5130-35000,5130,35000,20065,70-150,70,150,110,"0,75-1",0.75,1,0.875,6.0,2.5,0%,0%,,0.305,70,1125,750 - 1500
4,Stoppelcultivator,4000-6000,4000,6000,5000,70-125,70,125,97.5,"0,75-1",0.75,1,0.875,6.0,3.0,0%,0%,,0.305,70,1125,750 - 1500
5,Frontpakker,3500-6000,3500,6000,4750,50,50,50,50,"0,75-1",0.75,1,0.875,7.5,2.5,0%,0%,,0.305,70,1125,750 - 1500
6,Grondfrees,950-11000,950,11000,5975,70-125,70,125,97.5,"1,5-2,5",1.5,2.5,2,9.0,3.0,0%,0%,,0.305,70,1500,1000 - 2000
7,Hakenfrees,6000-16800,6000,16800,11400,70-125,70,125,97.5,"1,5-2,5",1.5,2.5,2,9.0,3.0,0%,0%,,0.305,70,1500,1000 - 2000
8,Rotorkopeg,8000-44000,8000,44000,26000,70-150,70,150,110,"0,8-1,2",0.8,1.2,1,7.5,3.5,0%,0%,,0.305,70,1325,750 - 2000
9,Schijveneg,4500-50000,4500,50000,27250,70-150,70,150,110,"0,8-1,2",0.8,1.2,1,7.5,3.5,0%,0%,,0.305,70,1750,1000 - 2500
10,Spitmachine,25000-42000,25000,42000,33500,70-150,70,150,110,"1,5-2",1.5,2,1.75,9.0,3.5,0%,0%,,0.305,70,1750,1001 - 2500
11,Volveldsfrees,14500-20000,14500,20000,17250,70-125,70,125,97.5,"1,5-2,5",1.5,2.5,2,9.0,3.5,0%,0%,,0.305,70,1500,1000 - 2000
12,Voorzetwoeler,5300-8000,5300,8000,6650,70-125,70,125,97.5,"0,8-1,2",0.8,1.2,1,4.5,2.0,0%,0%,,0.305,70,750,500 - 1000
13,Vorenpakker enkel of dubbel,2000-9800,2000,9800,5900,40-70,40,70,55,0.5,0.5,0.5,0.5,7.5,1.5,0%,0%,extra,0.305,70,1125,750 - 1500
14,Vorenpakker frontopbouw,3000-15000,3000,15000,9000,40-70,40,70,55,0.5,0.5,0.5,0.5,7.5,1.5,0%,0%,extra,0.305,70,1125,750 - 1500
15,Wentelploeg,20000-55000,20000,55000,37500,70-150,70,150,110,"1,5-2",1.5,2,1.75,7.5,5.0,0%,0%,,0.305,70,2250,1500 - 3000
16,Woeler,2000-14000,2000,14000,8000,70-100,70,100,85,"0,8-1,2",0.8,1.2,1,4.5,2.0,0%,0%,,0.305,70,750,500 - 1000
17,Zaaibedcombinatie gedragen,3500-25000,3500,25000,14250,70-125,70,125,97.5,"0,5-1",0.5,1,0.75,6.0,2.0,0%,0%,,0.305,70,1250,500 - 2000
18,Duwploeg,15000-20000,15000,20000,17500,40-70,40,70,55,0.5,0.5,0.5,0.5,7.5,5.0,0%,0%,extra,0.305,70,1500,1000 - 2000
19,Rupsbanden,,,,,,,,,,,,,?,?,0%,0%,,0.305,70,500,500
20,Techniek + vasterijpaden,,,,,,,,,,,,,?,?,0%,0%,,0.305,70,0.1,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,
Rekenwaarde,Check,,,,,,,,,,,,,,,,,,,,,
1,Cultivator schijf,2500-10000,2500,10000,6250,70-150,70,150,110,"0,75-1",0.75,1,0.875,6.0,2.5,0%,0%,,0.305,70,1750,
Handmatig aangepast,,,,,,,,,,,,,,,,,,,,,,